source_id,city,title,publisher,bucket,source_type,access_url,api_url,licence,coverage_start,coverage_end,spatial_granularity,temporal_granularity,retrieved_at,refresh_policy,ingest_priority,known_limitations,raw_metadata_file,notes
lon_bres_nomis,london,Business Register and Employment Survey via Nomis,Office for National Statistics,economy_business,api_dataset,https://www.nomisweb.co.uk/sources/bres,,Open Government Licence with statistical disclosure controls,2009,latest annual,local authority / MSOA where available,annual,2026-04-28T09:52:10.257166+01:00,annual,mvp,Some small-area industry cells suppressed; avoid over-interpreting short-term changes.,raw_metadata/lon_bres_nomis_page_metadata.json,
lon_congestion_charge_camera_captures,london,Camera Captures and Confirmed Vehicles seen in the Congestion Charge Zone by Month,Transport for London,transport_mobility,dataset_page,https://data.london.gov.uk/dataset/camera-captures-and-confirmed-vehicles-seen-in-the-congestion-ch-2r88d,,TfL / GLA terms; confirm,congestion charge era,present,zone-wide aggregate,monthly,2026-04-28T11:42:12.986910+00:00,monthly/periodic,mvp,"Zone-level counts are policy-monitoring indicators, not full network traffic assignment.",raw_metadata/lon_congestion_charge_camera_captures_page_metadata.json,Useful for city-policy impacts on traffic volumes in central London over time.
lon_dfe_schools,london,Get Information about Schools downloads,Department for Education,public_services_civic_assets,download,https://get-information-schools.service.gov.uk/Downloads,,Open Government Licence,current/historic snapshots,present,school/site points and attributes,daily/monthly extracts,2026-04-28T09:52:10.257166+01:00,quarterly,mvp,Capacity and enrolment need separate education statistics; do not infer overload from proximity.,raw_metadata/lon_dfe_schools_page_metadata.json,
lon_dft_traffic_flows_borough,london,"Traffic Flows, Borough",Department for Transport,transport_mobility,dataset_page,https://data.london.gov.uk/dataset/traffic-flows-borough-v8pow,,Open Government Licence,1993,present,borough / local authority,annual,2026-04-28T11:42:12.986910+00:00,annual,mvp,"Annual road traffic estimates at borough/local-authority level are aggregate indicators, not link-level traffic traces.",raw_metadata/lon_dft_traffic_flows_borough_page_metadata.json,Useful citywide long-run traffic baseline for London motor-vehicle volumes over time.
lon_ea_flood,london,Environment Agency flood map for planning / open flood data,Environment Agency,environment_air_quality,api_portal,https://environment.data.gov.uk/,,Open Government Licence,current/historic depending dataset,present,flood zones/risk areas/water features,varies,2026-04-28T09:52:10.257166+01:00,quarterly,mvp,"Flood zones are policy/risk layers, not proof of actual flood events.",raw_metadata/lon_ea_flood_page_metadata.json,
lon_east_bank,london,East Bank official project pages,London Legacy Development Corporation / partners,policy_governance,official_project_pages,https://www.queenelizabetholympicpark.co.uk/east-bank,,"copyright; quote minimally, link for evidence",2018,present,project/venue level,web updates,2026-04-28T09:52:10.257166+01:00,manual event curation,later,Project pages may emphasize benefits; pair with planning records.,raw_metadata/lon_east_bank_page_metadata.json,
lon_high_streets,london,London High Streets Data Service,Greater London Authority,economy_business,dataset_portal,https://data.london.gov.uk/dataset/high-streets-data-service,,Open Government Licence / GLA terms to confirm,varies,present,town centres/high streets/business indicators,varies,2026-04-28T09:52:10.257166+01:00,quarterly,later,Best for context indicators; exact coverage and licensing per sub-dataset.,raw_metadata/lon_high_streets_page_metadata.json,
lon_historic_england_aerial,london,Historic England Aerial Photo Explorer / Archive,Historic England,imagery_historical,imagery_archive,https://historicengland.org.uk/images-books/archive/collections/aerial-photos/,,Historic England/item-specific rights; do not bulk redistribute without rights check,historic,varies,aerial photographs / archive items,archive,2026-04-28T09:53:04.134977+01:00,manual,later,"Useful for visual before/after research, but rights vary and imagery cannot automatically be embedded in open-source tiles.",raw_metadata/lon_historic_england_aerial_page_metadata.json,
lon_historical_census_population,london,Historical Census Population,Office for National Statistics,demographics_socioeconomic,historical_dataset,https://data.london.gov.uk/dataset/historical-census-population-expjm,,Open Government Licence,1801,2021,London / borough,census years,2026-04-28T11:42:12.986910+00:00,manual on release,mvp,Census concept changes over time (persons present vs usual residents) must be preserved in any trend analysis.,raw_metadata/lon_historical_census_population_page_metadata.json,Core long-run source for London city history over two centuries.
lon_historical_census_tables,london,Historical Census Tables,Census Information Scheme,demographics_socioeconomic,historical_dataset,https://data.london.gov.uk/dataset/historical-census-tables-e5mlg,,Open Government Licence likely; confirm,1961,2021,multiple London geographies depending table,census years,2026-04-28T11:42:12.986910+00:00,manual on workbook updates,mvp,Workbook spans many indicators and vintages; each table requires geography/definition checks before combining across decades.,raw_metadata/lon_historical_census_tables_page_metadata.json,"High-value source for demographic, housing, and social change over time."
