year,date_start,date_end,event_id,title,city,area,category,confidence,citywide_relevance,summary,observed_change,limitations,source_ids,source_titles,source_buckets
2005,2005-01-19,,nyc_hy_2005_hudson_yards_rezoning,Hudson Yards rezoning adopted,new_york,hudson_yards_west_chelsea,rezoning_policy,documented,False,City adopted the Hudson Yards rezoning/Special Hudson Yards District framework.,Land-use policy shifted to support high-density mixed-use development over/around the rail yards.,Use DCP zoning text/map amendments and ULURP records for exact actions.,nyc_hudson_yards_dcp_plan|nyc_fdkv-4t4z,Hudson Yards plan official page | NYC Zoning Tax Lot Database,policy_governance
2005,2005-06-23,,nyc_hy_2005_west_chelsea_rezoning,West Chelsea rezoning adopted,new_york,hudson_yards_west_chelsea,rezoning_policy,documented,False,City adopted West Chelsea zoning controls connected to High Line preservation and surrounding development.,Regulatory context changed for West Chelsea/High Line corridor.,Confirm exact adoption date/action numbers in DCP records.,nyc_west_chelsea_dcp_plan|nyc_fdkv-4t4z,West Chelsea plan official page | NYC Zoning Tax Lot Database,policy_governance
2007,2007-12-03,,nyc_hy_2007_7_extension_groundbreaking,7 Subway Extension construction begins,new_york,hudson_yards_west_chelsea,transport,candidate_requires_row_validation,False,Construction began on the extension of the 7 line toward 34 St-Hudson Yards.,Transit-led infrastructure commitment for Hudson Yards area.,Use MTA capital-program press source for final exact date.,nyc_mta_static_feeds|nyc_hudson_yards_dcp_plan,MTA developer static data feeds (GTFS) | Hudson Yards plan official page,policy_governance|transport_mobility
2008,2008-05-01,,nyc_hy_2008_mta_selects_rail_yard_developer,MTA selects Related/Oxford for West Side Yard development,new_york,hudson_yards_west_chelsea,planning_development,candidate_requires_row_validation,False,MTA selected a development team for the rail-yard redevelopment rights.,Rail-yard redevelopment moved toward private mixed-use delivery.,Month-level seed; corroborate with MTA board records.,nyc_hudson_yards_official|nyc_hudson_yards_dcp_plan,Hudson Yards official project site | Hudson Yards plan official page,policy_governance
2009,2009-06-08,,nyc_hy_2009_high_line_section_1,High Line Section 1 opens,new_york,hudson_yards_west_chelsea,public_realm,documented,False,First section of the High Line opened as elevated public park space.,"Former rail infrastructure converted to public realm, catalysing corridor visitation/development context.",Use Friends of the High Line/NYC Parks source for final evidence.,nyc_west_chelsea_dcp_plan|nyc_enfh-gkve,West Chelsea plan official page | Parks Properties,environment_air_quality|policy_governance
2010,2010-05-26,,nyc_hy_2010_west_side_yard_lease,West Side Yard development lease closes,new_york,hudson_yards_west_chelsea,planning_development,candidate_requires_row_validation,False,Development lease/transaction for the Eastern Rail Yard moved Hudson Yards from plan to delivery path.,Site-control/development milestone for rail-yard platform and buildings.,Validate date and parties against MTA/Related official record.,nyc_hudson_yards_official,Hudson Yards official project site,policy_governance
2011,2011-06-08,,nyc_hy_2011_high_line_section_2,High Line Section 2 opens,new_york,hudson_yards_west_chelsea,public_realm,documented,False,Second section of the High Line opened northward through West Chelsea.,"Public realm corridor extended, changing pedestrian access and open space.",Final card should include geometry of section 2.,nyc_west_chelsea_dcp_plan|nyc_enfh-gkve,West Chelsea plan official page | Parks Properties,environment_air_quality|policy_governance
2012,2012-12-04,,nyc_hy_2012_10_hudson_groundbreaking,10 Hudson Yards breaks ground,new_york,hudson_yards_west_chelsea,construction_start,documented,False,Groundbreaking for 10 Hudson Yards marked the first tower construction milestone in the Hudson Yards development.,Commercial/mixed-use construction begins on flagship development.,Use DOB permit rows and project source for evidence.,nyc_hudson_yards_official|nyc_ipu4-2q9a,Hudson Yards official project site | DOB Permit Issuance,planning_development|policy_governance
2013,2013,,nyc_city_2013_street_permit_history_start,Historical street-construction permit coverage begins in discovery package,new_york,nyc_wide,street_work,documented,True,DOT street construction permit datasets provide citywide historical records for roadway work and closures.,Enables longitudinal analysis of street work and traffic disruption across the city.,This is a data-coverage milestone rather than a civic event; use it as a source-era marker.,nyc_c9sj-fmsg|nyc_i6b5-j7bu|nyc_478a-yykk,Street Construction Permits (2013-2021) | Street Closures due to Construction Activities by Block | Street Closures due to Construction Activities by Intersection,transport_mobility
2013,2013-05-27,,nyc_city_2013_citibike_launch,Citi Bike launches,new_york,nyc_core,transport,candidate_requires_row_validation,True,Citi Bike begins operating in New York City.,Added a major micromobility mode and changed cycling demand/data availability.,Final chronology should cite official Citi Bike/NYC DOT launch sources.,nyc_qfs9-xn8t|nyc_mzxg-pwib,NYCDCP Manhattan Bike Counts - On Street Weekday | New York City Bike Routes,transport_mobility
2014,2014-09-21,,nyc_hy_2014_high_line_rail_yards,High Line at the Rail Yards opens,new_york,hudson_yards_west_chelsea,public_realm,documented,False,Final northern section around the rail yards opened.,High Line public-realm corridor reaches Hudson Yards rail-yard edge.,Geometry should separate this section from earlier High Line phases.,nyc_west_chelsea_dcp_plan|nyc_388s-pnvc,West Chelsea plan official page | Waterfront Public Access Areas (WPAAs),policy_governance|public_services_civic_assets
2015,2015-09-13,,nyc_city_2015_hudson_yards_station_open,34 St-Hudson Yards subway station opens,new_york,manhattan_west_side,transport,documented,True,The 7 line extension opens to Hudson Yards.,Altered West Side accessibility and supported development intensification.,Opening date should be validated with MTA press materials during ingestion.,nyc_mta_gtfs_subway|nyc_mta_static_feeds,MTA Subway GTFS static feed | MTA developer static data feeds (GTFS),transport_mobility
2015,2015-09-13,,nyc_hy_2015_7_extension_opens,34 St-Hudson Yards subway station opens,new_york,hudson_yards_west_chelsea,transport,documented,False,MTA opened the 7 Subway Extension to 34 St-Hudson Yards.,New subway access added to Hudson Yards/West Side.,GTFS gives current stop data; opening date needs MTA press release evidence.,nyc_mta_gtfs_subway|nyc_mta_static_feeds,MTA Subway GTFS static feed | MTA developer static data feeds (GTFS),transport_mobility
2016,2016-01-01,,nyc_hy_2016_high_line_spur_transfer,High Line Spur / plaza integration advances,new_york,hudson_yards_west_chelsea,public_realm,candidate_requires_row_validation,False,High Line spur and adjacent public-realm integration advanced alongside Hudson Yards construction.,Public-realm interface between private development and High Line planned/constructed.,Discovery seed from planning/project context; verify exact ZAP/DOT/Parks source.,nyc_hgx4-8ukb|nyc_388s-pnvc,Zoning Application Portal (ZAP) - Project Data | Waterfront Public Access Areas (WPAAs),planning_development|public_services_civic_assets
2016,2016-05-31,,nyc_hy_2016_10_hudson_opens,10 Hudson Yards opens,new_york,hudson_yards_west_chelsea,completion_opening,candidate_requires_row_validation,False,10 Hudson Yards opened/was occupied as an early completed tower in the district.,First major office tower completion/occupation in Hudson Yards.,Exact opening/occupancy date should be validated with CO/DOB and tenant records.,nyc_hudson_yards_official|nyc_pkdm-hqz6,Hudson Yards official project site | DOB NOW: Certificate of Occupancy,planning_development|policy_governance
2017,2017-05-01,,nyc_city_2017_nyc_ferry_launch,NYC Ferry service launches,new_york,waterfront_corridors,transport,candidate_requires_row_validation,True,NYC Ferry begins service and creates new route/landing-level ridership series.,Expanded waterfront mobility options and introduced a new mode-specific city dataset.,Use NYC Ferry official chronology for the exact phased rollout dates by route.,nyc_t5n6-gx8c|nyc_6eng-46dm,NYC Ferry Ridership | Staten Island Ferry Ridership Counts,transport_mobility
2018,2018-10-01,,nyc_hy_2018_55_hudson_opens,55 Hudson Yards opens,new_york,hudson_yards_west_chelsea,completion_opening,candidate_requires_row_validation,False,Office tower at 55 Hudson Yards opened/entered occupancy period.,Additional commercial floorspace delivered in Hudson Yards district.,Month-level seed; validate with certificate of occupancy and official building source.,nyc_hudson_yards_official|nyc_pkdm-hqz6,Hudson Yards official project site | DOB NOW: Certificate of Occupancy,planning_development|policy_governance
