year,date_start,date_end,event_id,title,city,area,category,confidence,citywide_relevance,summary,observed_change,limitations,source_ids,source_titles,source_buckets
2003,2003-02-17,,lon_city_2003_congestion_charge_start,Central London Congestion Charge begins,london,central_london,transport_policy,documented,True,London introduced the Congestion Charge in central London as a major traffic-management policy intervention.,Changed driving costs and traffic patterns in central London and created a durable policy-monitoring time series.,Use TfL policy pages for final legal/policy citation; this seed is for chronology and data linkage.,lon_congestion_charge_camera_captures|lon_dft_traffic_flows_borough,"Camera Captures and Confirmed Vehicles seen in the Congestion Charge Zone by Month | Traffic Flows, Borough",transport_mobility
2005,2005-07-06,,lon_stratford_2005_olympic_bid_awarded,London awarded the 2012 Olympic and Paralympic Games,london,stratford_olympic_park,policy_governance,corroborated,False,"IOC selected London to host the 2012 Games, triggering the Lower Lea Valley/Olympic Park delivery programme.",Regeneration programme trigger for Stratford/Olympic Park and Lower Lea Valley.,"Use as policy/regeneration trigger, not a planning permission.",lon_queen_elizabeth_olympic_park|lon_london_plan_2021,Queen Elizabeth Olympic Park official site / venues / park facts | The London Plan 2021,policy_governance|public_services_civic_assets
2006,2006-03-30,,lon_stratford_2006_olympic_act,London Olympic and Paralympic Games Act receives Royal Assent,london,stratford_olympic_park,policy_governance,documented,False,The Act created statutory powers and bodies needed to deliver the London 2012 Games.,Governance framework for Olympic delivery and later legacy planning.,Legal source should be linked in part-2 ingestion.,lon_lldc_local_plan,LLDC Local Plan,policy_governance
2007,2007-09-01,,lon_stratford_2007_olympic_park_permissions,Olympic Park planning permissions and site-preparation programme,london,stratford_olympic_park,planning_development,candidate_requires_row_validation,False,Olympic Park masterplanning and permissions moved from bid concept into delivery/site preparation.,"Large-scale land assembly, remediation, utilities and venue construction programme.",Date is month-level discovery seed; verify exact permission decision IDs in LLDC/ODA records.,lon_lldc_planning_register|lon_pld_api,LLDC planning register | Planning London Datahub public guest API,planning_development
2007,2007-11-11,,lon_city_2007_overground_launch,London Overground launches,london,london_wide,transport,candidate_requires_row_validation,True,London Overground service launches under TfL management.,Reshaped orbital rail connectivity and travel patterns across London.,Opening chronology should be validated against TfL archives/press materials.,lon_public_transport_journeys|lon_tfl_unified_api,Public Transport Journeys by Type of Transport | TfL Unified API lines and stop points,transport_mobility
2008,2008-05-01,,lon_stratford_2008_olympic_park_construction,Major Olympic Park construction phase begins,london,stratford_olympic_park,construction_start,candidate_requires_row_validation,False,Main Olympic Park construction and venue delivery accelerated after land clearance/remediation.,Visible transformation from industrial/rail/waterway land to Games park and venues.,Month-level seed; confirm exact construction milestones from ODA/LLDC annual reports.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2009,2009-11-30,,lon_stratford_2009_stratford_international_domestic,Stratford International domestic rail services open,london,stratford_olympic_park,transport,documented,False,Domestic Southeastern High Speed services began serving Stratford International.,High-speed rail access added to Stratford/Olympic Park area.,Station opening source should be Network Rail/Southeastern/Mitre in part 2; TfL layer only provides current context.,lon_tfl_open_data,TfL Open Data portal,transport_mobility
2010,2010-07-30,,lon_city_2010_cycle_hire_launch,Cycle Hire scheme launches,london,central_london,transport,documented,True,London launched the public cycle-hire scheme later branded Santander Cycles.,Added a new city mobility mode and generated station-level bike availability and hire time series.,Use TfL scheme-history source for final launch documentation.,lon_tfl_cycling_data|lon_tfl_cycle_flows_trln,TfL Cycling Infrastructure Database / cycling open data | Cycle Flows on the TFL Road Network,transport_mobility
2011,2011-08-31,,lon_stratford_2011_dlr_stratford_international,DLR extension to Stratford International opens,london,stratford_olympic_park,transport,documented,False,"DLR service opened to Stratford International, connecting the Olympic Park area to the Docklands/light-rail network.",Transit access improved before London 2012.,Use TfL press release/opening chronology for final evidence.,lon_tfl_unified_api|lon_tfl_open_data,TfL Unified API lines and stop points | TfL Open Data portal,transport_mobility
2011,2011-09-13,,lon_stratford_2011_westfield_opening,Westfield Stratford City opens,london,stratford,economic_anchor,documented,False,Large retail and leisure centre opened adjacent to Stratford station and Olympic Park.,Major economic/retail anchor added to Stratford City.,Private operator source should be corroborated with planning/source records.,lon_pld_api|lon_queen_elizabeth_olympic_park,Planning London Datahub public guest API | Queen Elizabeth Olympic Park official site / venues / park facts,planning_development|public_services_civic_assets
2012,2012-07-27,2012-08-12,lon_city_2012_olympics,London 2012 Olympic Games begin,london,london_wide,major_event,documented,True,"The Olympics created major transport, land-use, and visitor-pattern disruptions and investments across London.","Short-term network demand/traffic changes and long-run regeneration effects, especially in East London.",Citywide causal attribution should distinguish short-term event effects from long-run regeneration effects.,lon_public_transport_journeys|lon_pld_api|lon_queen_elizabeth_olympic_park,Public Transport Journeys by Type of Transport | Planning London Datahub public guest API | Queen Elizabeth Olympic Park official site / venues / park facts,planning_development|public_services_civic_assets|transport_mobility
2012,2012-07-27,,lon_stratford_2012_games_open,London 2012 Olympic Games opening ceremony,london,stratford_olympic_park,regeneration,documented,False,Olympic Park hosted the Games opening ceremony and primary Olympic venues.,Temporary event use of newly built park/venues; later legacy conversion followed.,"Event date is Games opening, not park-public-opening date.",lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2012,2012-08-29,,lon_stratford_2012_paralympics_open,London 2012 Paralympic Games opening ceremony,london,stratford_olympic_park,regeneration,documented,False,Olympic Park hosted Paralympic events after the Olympic Games.,Continued Games use before legacy conversion.,Event date is Paralympics opening.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2013,2013-01-01,,lon_stratford_2013_east_village_first_residents,East Village begins residential occupation,london,stratford_olympic_park,housing_completion,candidate_requires_row_validation,False,Former Athletes Village transitioned into East Village homes after the Games.,Large housing delivery/occupation phase begins in Olympic Park area.,Year-level seed; validate exact first-occupation date and unit counts from LLDC/GLA records.,lon_pld_api|lon_lldc_planning_register,Planning London Datahub public guest API | LLDC planning register,planning_development
2013,2013-07-01,,lon_stratford_2013_copper_box_reopens,Copper Box Arena reopens for public legacy use,london,stratford_olympic_park,public_service,candidate_requires_row_validation,False,Olympic venue reopened as a public sports and events venue.,Games venue converted to civic/sport legacy asset.,Month-level seed; verify exact reopening date.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2013,2013-07-27,,lon_stratford_2013_north_park_open,Queen Elizabeth Olympic Park north park opens,london,stratford_olympic_park,public_realm,documented,False,Northern part of the Olympic Park opened to the public after legacy conversion works.,Public realm/park access added after Games.,Use park-management source for exact boundary/opening scope.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2013,2013-09-01,,lon_stratford_2013_chobham_academy,Chobham Academy opens,london,stratford_olympic_park,public_service,candidate_requires_row_validation,False,New all-through school opened as part of East Village/legacy neighbourhood infrastructure.,Public service/civic asset added to support new residential community.,School opening month seed; verify exact date from DfE/school record.,lon_dfe_schools|lon_queen_elizabeth_olympic_park,Get Information about Schools downloads | Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2014,2014-03-01,,lon_stratford_2014_aquatics_public_open,London Aquatics Centre opens to the public,london,stratford_olympic_park,public_service,documented,False,Olympic swimming venue opened for public/community use after conversion.,Games venue becomes public sport/leisure asset.,Use official venue/LLDC source in final card.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2014,2014-03-31,,lon_stratford_2014_velopark_open,Lee Valley VeloPark opens,london,stratford_olympic_park,public_service,documented,False,Olympic cycling venue opened as a public cycling facility.,Sports venue/cycle facility added to legacy park.,Use Lee Valley/LLDC source for exact date.,lon_queen_elizabeth_olympic_park,Queen Elizabeth Olympic Park official site / venues / park facts,public_services_civic_assets
2014,2014-04-05,,lon_stratford_2014_south_park_open,Queen Elizabeth Olympic Park fully opens to the public,london,stratford_olympic_park,public_realm,documented,False,"South Park/plaza areas opened, completing the main post-Games public park opening sequence.",Major new public park/public realm becomes accessible.,Geometry should distinguish north/south park and venue areas.,lon_queen_elizabeth_olympic_park|lon_os_open_greenspace,Queen Elizabeth Olympic Park official site / venues / park facts | OS Open Greenspace,environment_air_quality|public_services_civic_assets
2014,2014-04-28,,lon_stratford_2014_pudding_mill_lane_relocated,New Pudding Mill Lane DLR station opens,london,stratford_olympic_park,transport,documented,False,A relocated/larger Pudding Mill Lane DLR station opened to support Crossrail/area development.,Transit station geometry/capacity changed near Olympic Park.,Need TfL/Crossrail source for exact station works details.,lon_tfl_unified_api|lon_tfl_open_data,TfL Unified API lines and stop points | TfL Open Data portal,transport_mobility
2015,2015-07-01,,lon_stratford_2015_lldc_local_plan,LLDC Local Plan adopted,london,stratford_olympic_park,policy_governance,documented,False,LLDC adopted a local plan for its planning authority area covering Olympic legacy development.,Policy framework for development management and site allocations.,Month-level date in discovery pack; final should use exact adoption date from LLDC document.,lon_lldc_local_plan,LLDC Local Plan,policy_governance
2016,2016-01-01,,lon_stratford_2016_here_east_opening,Here East innovation campus opens in former press/broadcast centres,london,stratford_olympic_park,economic_anchor,candidate_requires_row_validation,False,Former Olympic media facilities transitioned toward Here East technology/innovation campus uses.,Economic anchor / employment-space reuse of Games infrastructure.,Year-level seed; validate exact opening/occupation milestones.,lon_pld_api|lon_queen_elizabeth_olympic_park,Planning London Datahub public guest API | Queen Elizabeth Olympic Park official site / venues / park facts,planning_development|public_services_civic_assets
