source_id,city,title,publisher,bucket,source_type,access_url,api_url,licence,coverage_start,coverage_end,spatial_granularity,temporal_granularity,retrieved_at,refresh_policy,ingest_priority,known_limitations,raw_metadata_file,notes
gla-planning-datahub-applications,london,Planning London Datahub - planning applications,"Greater London Authority (GLA), London borough planning authorities",planning/development,discovery_catalog_source,https://planning.data.london.gov.uk/,https://planning.data.london.gov.uk/api-guest/applications,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Planning application point/site polygon where supplied; borough/LPA; address/UPRN where available.,Application submitted/validated/decision dates; near-real-time updates by LPA feed.,2026-04-28T12:18:46.277684+00:00,,,Coverage/completeness varies by borough and by historic backfill; schemas may omit drawings/decision notices; not all legacy applications geocoded.,raw_metadata/london__gla-planning-datahub-applications__page.json,
gla-london-development-database,london,London Development Database (LDD) / historic strategic development pipeline,Greater London Authority,planning/development,discovery_catalog_source,https://data.london.gov.uk/,Search London Datastore for 'London Development Database' and LDD CSV/XLS resources,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Development site/application; borough; coordinates where published.,"Permission, start and completion years/quarters depending extract.",2026-04-28T12:18:46.277764+00:00,,,Legacy dataset; not always a maintained API; schema differs from Datahub; large schemes may be revised over time.,raw_metadata/london__gla-london-development-database__page.json,
gla-london-plan,london,The London Plan and associated alterations,Mayor of London / GLA,policy,discovery_catalog_source,https://www.london.gov.uk/programmes-strategies/planning/london-plan,Document/PDF landing page,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,London-wide policies; key diagrams; Opportunity Areas; town centres; strategic industrial locations.,Plan/adoption dates and monitoring years.,2026-04-28T12:18:46.277770+00:00,,,Policy document rather than raw observations; spatial layers often separate; interpretation needed for events.,raw_metadata/london__gla-london-plan__page.json,
gla-opportunity-areas,london,London Opportunity Areas,Greater London Authority,planning/development,discovery_catalog_source,https://www.london.gov.uk/programmes-strategies/planning/implementing-london-plan/londons-opportunity-areas,Policy/area pages and downloadable guidance where provided,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Opportunity Area boundaries and area-level housing/jobs capacity estimates.,Designation/adoption dates; planning-framework publication dates.,2026-04-28T12:18:46.277773+00:00,,,"Boundary GIS may need separate download/request; capacities are planning estimates, not delivery.",raw_metadata/london__gla-opportunity-areas__page.json,
gla-statistical-gis-boundaries,london,Statistical GIS boundary files for London,Greater London Authority / London Datastore,imagery/basemaps,discovery_catalog_source,https://data.london.gov.uk/dataset/statistical-gis-boundary-files-for-london-20od9/,Downloadable shapefile/GeoJSON resources,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Administrative/statistical polygons.,Boundary vintage/year.,2026-04-28T12:18:46.277775+00:00,,,Boundary changes complicate longitudinal joins; not observations by itself.,raw_metadata/london__gla-statistical-gis-boundaries__page.json,
os-open-zoomstack,london,OS Open Zoomstack,Ordnance Survey,imagery/basemaps,discovery_catalog_source,https://www.ordnancesurvey.co.uk/products/os-open-zoomstack,OS Data Hub downloads/APIs,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,"Vector tiles/features at national scale including roads, buildings/generalised urban areas, water, greenspace.","Release/update cycle, not event time.",2026-04-28T12:18:46.277777+00:00,,,Not a historical archive; generalised at some zooms; OS licence attribution required.,raw_metadata/london__os-open-zoomstack__page.json,
os-open-map-local,london,OS OpenMap Local,Ordnance Survey,buildings,discovery_catalog_source,https://www.ordnancesurvey.co.uk/products/os-open-map-local,OS Data Hub download,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Building footprints/functional sites/roads/water/greenspace as vector features.,Publication vintage.,2026-04-28T12:18:46.277779+00:00,,,Current-state only; not suitable for exact construction dates; generalised compared with premium MasterMap.,raw_metadata/london__os-open-map-local__page.json,
os-open-uprn,london,OS Open UPRN,Ordnance Survey / GeoPlace,buildings,discovery_catalog_source,https://www.ordnancesurvey.co.uk/products/os-open-uprn,OS Data Hub download,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,UPRN point with coordinates.,Release vintage only.,2026-04-28T12:18:46.277781+00:00,,,No address text in open product; no history of creation/removal; coordinate precision/licence constraints.,raw_metadata/london__os-open-uprn__page.json,
historic-england-nhle,london,National Heritage List for England (NHLE) downloads,Historic England,buildings,discovery_catalog_source,https://historicengland.org.uk/listing/the-list/data-downloads/,Downloadable GIS/CSV; NHLE search API/exports where available,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Listed building/monument/registered park point or polygon.,Designation/listing dates and amendment dates.,2026-04-28T12:18:46.277782+00:00,,,"Heritage designations only, not all buildings; some coordinates approximate; 403/web restrictions may require browser/manual download.",raw_metadata/london__historic-england-nhle__page.json,
mhclg-epc-open-data,london,Energy Performance Certificate open data,"Ministry of Housing, Communities and Local Government / OpenDataCommunities",buildings/environment,discovery_catalog_source,https://epc.opendatacommunities.org/,https://epc.opendatacommunities.org/api/v1/,"Requires source-level review; many official sources use OGL/UK Open Government Licence, TfL terms, NYC Open Data Terms, or agency-specific terms.",,,Certificate/address/UPRN-postcode level; local authority.,Assessment/lodgement date.,2026-04-28T12:18:46.277784+00:00,,,Only properties requiring certificates; duplicates and superseded certificates; licence/authentication and privacy constraints; not complete building stock.,raw_metadata/london__mhclg-epc-open-data__page.json,
